,var,;,id,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,-,*,/,%,not,[,],lit-bool,lit-int,lit-char,lit-str,$
0,r3,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,
2,s6,,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,
3,r2,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,
4,r4,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,
5,r5,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r5,
6,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,r10,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,s17,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,r6,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r6,
13,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,s21,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,r10,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,r15,r15,r15,,,,,r15,,r15,r15,r15,,,r15,r15,r15,,,,,,,,,,,,,,,,,,,,,r15,
24,,,,s21,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,s29,r17,r17,,,,,r17,,r17,r17,r17,,,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,s49,s41,,,,,s30,,s42,s43,s45,,,s46,s47,s48,,,,,,,,,,,,,,,,,,,,,,
28,r14,r14,r14,,,,,r14,,r14,r14,r14,,,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,r14,
29,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,r11,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r11,
31,,r16,r16,,,,,r16,,r16,r16,r16,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,
32,,r18,r18,,,,,r18,,r18,r18,r18,,,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,
33,,r19,r19,,,,,r19,,r19,r19,r19,,,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,,
34,,r20,r20,,,,,r20,,r20,r20,r20,,,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,,
35,,r21,r21,,,,,r21,,r21,r21,r21,,,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,
36,,r22,r22,,,,,r22,,r22,r22,r22,,,r22,r22,r22,,,,,,,,,,,,,,,,,,,,,,
